year,author,category,title,subject,details
0,墨子 (Mozi),,The Camera Obscura,,~ 470 BC – 391 BC: 墨子 (Mozi) develops optics including what will become known as the camera obscura in the location of present-day People’s Republic of China
801,(Abu Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī),,The Camera Obscura,,"~ 801 - 873:
أبو يوسف يعقوب بن إسحاق الصبّاح الكندي
(Abu Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī) develops optics including what will become known as the camera obscura in the location of present-day Iraq"
965," أبو علي، الحسن بن الحسن بن الهيثم
(Abū ʿAlī al-Ḥasan ibn al-Ḥasan ibn al-Haytham)
",,The Camera Obscura,,"
~ 965 - 1040: أبو علي، الحسن بن الحسن بن الهيثم
(Abū ʿAlī al-Ḥasan ibn al-Ḥasan ibn al-Haytham) develops optics including what will become known as “The Camera Obscura”
in the location of present-day Iraq"
1031,沈括 (Shen Kuo or Shen Gua),,The Camera Obscura,,1031–1095: 沈括 (English Shen Kuo or Shen Gua) develops “The Camera Obscura” in the location of present-day People’s Republic of China
1744,,,,gaming,Baseball is documented as a game in the United Kingdom
1856,,,,gaming,Baseball is known as the national game of the United States of America
1882,Étienne-Jules Marey,,The Chronophotographic Gun,,"The Chronophotographic Gun, Étienne-Jules Marey"
1910,Essenay Studio,CNME,Broncho Billy Film,,Essanay Film Studio; Broncho Billy silent western film set with newly-invented lighting rig
1911,,,,,Marshall McLuhan born
1915,Essenay Studio,CNME,His New Job,,Charlie Chaplin films His New Job
1917,Marcel Duchamp,,Fountain,,"Fountain, Marcel Duchamp"
1918,The Surrealists,,Exquisite Corpse,gaming,(~1918 - ~1925) Surrealist Games
1925,John Logie Baird,,the first electro-mechanical television broadcast system,,John Logie Baird develops the first electro-mechanical television broadcast system
1927,Philo Farnsworth,,,,Philo Farnsworth develops the first fully electronic television technology including television video camera tube
1934,,,,,"Fernsehsender 'Paul Nipkow,' the first television station, begins public
broadcasts—live transmissions—in Berlin, during the Dritten Reich (Third Reich) of Nazi Germany"
1938,,,,,Stewart Brand born
1938,,,,,"DuMont Laboratories manufactures, markets and sells commercial television sets"
1938,Konrad Zuse,,Z3 Computer,,Konrad Zuse develops the Z3 Computer
1938,IIT School of Design,CNME,Curriculum and Admission Booklet,,IIT School of Design produces its Curriculum and Admission Booklet
1938,Laszlo Moholy-Nagy,CNME,,,"Documentation photos of Moholy-Nagy, School of Design’s Dearborn, Prairie and Ontario buildings and classes"
1938,Johan Huizinga,,In Homo Ludens: A Study of the Play-Element in Culture,gaming,Johan Huizinga writes In Homo Ludens: A Study of the Play-Element in Culture
1940,,,,,Radiation Laboratory - MIT (1940 - 1945) with National Defense Research Committee (NDRC); Office of Scientific Research and Development (OSRD
1942,,,,,Dan Sandin born
1942,,,,,Gene Youngblood born
1943,,,,gaming,Williams Manufacturing Company founded by Harry Williams
1943,,,,,Barb Abramo born
1944,,,,,Jane Veeder born
1945,,,,,Phil Morton born
1945,Vannevar Bush,,"""As We May Think,” The Atlantic",,Vannevar Bush writes “As We May Think” for The Atlantic Monthly
1945,,,,,"1945 - 1952, Project RAND/RAND Corporation created under special contract to the Douglas Aircraft Company"
1945,,,,,Project WHIRLWIND developed at Massachusetts Institute of Technology (MIT)
1946,,,,,"Ted Nelson identifies 1946 as the date of “the first computer” in his book, The Home Computer Revolution."
1946,Project RAND,,,,"Preliminary Design of an Experimental World-Circling Spaceship, Project RAND"
1948,RAND Corporation,,,,RAND Corporation (previously Project RAND) reformed as a private organization by the The United States Department of War
1948,IIT School of Design,CNME,Curriculum and Admissions Catalog,,IIT School of Design produces Curriculum and Admissions Catalog
1950,Williams Electronics,CNME,Lucky Inning (pinball game),gaming,"Lucky Inning (pinball game), Williams Electronics"
1951,,,,,Christine Tamblyn born
1951,,,,,Semiautomatic Ground Environment Air Defense System (SAGE) developed at Massachusetts Institute of Technology (MIT)
1951,Marshall McLuhan,,The Mechanical Bride: Folklore of Industrial Man,,Marshall McLuhan writes The Mechanical Bride: Folklore of Industrial Man
1951,St. Louis Dispatch,CNME,“New Approach to Design” and “Institute Combines Art and Technology”,,"“New Approach to Design” and “Institute Combines Art and Technology,” St. Louis Dispatch"
1955,,,,,"Resistance War Against America / The Vietnam War in Vietnam, Laos, and Cambodia (1955 - 1975)"
1957,USSR space program,,Sputnik 1,,"Sputnik 1, USSR space program"
1958,,,,,The National Aeronautics and Space Administration (NASA) established
1958,,,,gaming,"Williams Electronic Manufacturing Company, formerly Williams Manufacturing Company, renamed"
1959,,,,,FLUXUS established ~1959 - 1978
1959,,,,,PDP-1 (Programmed Data Processor-1) - Digital Equipment Corporation (DEC) (1959)
1960,University of Illinois,,PLATO,,"PLATO, University of Illinois"
1960,J.C.R. Licklider,,Man-Computer Symbiosis,,J.C.R. Licklider writes Man-Computer Symbiosis
1961,Dwight D. Eisenhower,,Eisenhower Farewell Address,,Dwight D. Eisenhower gives Farewell Address
1961,USSR space program,,,,"USSR succeeds in launching Ю́рий Алексе́евич Гага́рин (Yuri Alekseyevich Gagarin) into low Earth orbit"
1961,"Martin Graetz, Stephen Russell",,Spacewar!,gaming,"Spacewar!, Martin Graetz, Stephen Russell"
1961,,,,,Congress of Racial Equality (CORE) Freedom Rides
1962,Marshall McLuhan,,The Gutenberg Galaxy: The Making of Typographic Man,,Marshall McLuhan writes The Gutenberg Galaxy: The Making of Typographic Man
1962,,,,,The first transatlantic satellite television transmission via Telstar satellite
1962,Yoko Ono,,Instruction Pieces,,"Instruction Pieces, Yoko Ono"
1963,RAND Corporation,,The RAND Tablet,,RAND Corporation produces The RAND Tablet
1963,,,"Simulation of a Two-Gyro, Gravity-Gradient Attitude Control System",,"Simulation of a Two-Gyro, Gravity-Gradient Attitude Control System, E. E. Zajak"
1963,,,,,Marshall McLuhan’s Centre for Culture and Technology opens at The University of Toronto
1963,,,,,"John Fitzgerald Kennedy, the 35th President of the United States, assassinated on camera"
1963,Nam June Paik,,Random Access,,"Random Access, Nam June Paik"
1964,Ivan E. Sutherland,,Sketchpad: A Man-machine Graphical,,"Sketchpad: A Man-machine Graphical, Ivan E. Sutherland"
1964,Marshall McLuhan,,Understanding Media: The Extensions of Man,,"Marshall McLuhan, Understanding Media: The Extensions of Man"
1964,RAND Corporation,,GRAIL,,RAND Corporation produces GRAIL
1964,IBM,,M42 Mainframe Digital Computer with 2250 Graphic Display,,IBM develops the M42 Mainframe Digital Computer with 2250 Graphic Display
1964,,,,,The Merry Pranksters founded; later Ken Kesey and The Merry Pranksters begin the Magic Bus trip
1965,,,,,"Malcolm X, spiritual and political leader for racial justice, assassinated"
1965,Ivan E. Sutherland,,"""The Ultimate Display""",,"Ivan E. Sutherland, ""The Ultimate Display"""
1965,,,,,Alan Kay reads Gordon Moore's Law
1965,,,,,"Acid Tests - Ken Kesey, the Merry Pranksters and The Warlocks (later known as The Grateful Dead) (1965 - 1966)"
1965,,,,,Psychedelic liquid light shows performed by Bill Ham in San Francisco at The Fillmore
1965,Nam June Paik,,Magnet TV,,"Magnet TV, Nam June Paik"
1966,,,,,The Cultural Revolution - The People's Republic of China
1966,,,,,Black Panther Party founded by Bobby Seale and Huey Newton
1966,,,,,The Trips Festival with performances by The Grateful Dead
1966,,,,,"Dr. Timothy Leary announces the formation of the League for Spiritual Discovery stating,""Turn on, tune in, drop out"""
1966,,,,,Alan Kay reads Ivan E. Sutherland’s Sketchpad: A Man-machine Graphical Communications System
1966,Yoko Ono,,Play it by Trust (All White Chess Set),gaming,"Play it by Trust (All White Chess Set), Yoko Ono"
1966,,,,,Digital Equipment Corporation (DEC PDP-10
1967,Williams Electronics,,Shangri-La pinball game,gaming,"Shangri-La pinball game, Williams Electronics"
1967,Sol Lewitt ,,“Paragraphs on Conceptual Art”,,"Sol Lewitt, “Paragraphs on Conceptual Art”"
1967,SONY Corporation ,,"SONY “Video Rover"" DV-2400 Portapack",,"SONY Corporation develops the SONY “Video Rover"" DV-2400 Portapack"
1967,,,,,The Summer of Love
1967,Guy Debord ,,Society of the Spectacle (1967 - 1973),,"Guy Debord, Society of the Spectacle (1967 - 1973)"
1967,Charles Csuri,,Hummingbird,,"Hummingbird, Charles Csuri"
1967,,,,,Douglas Engelbart visits University of Utah and presents his oN-Line System (NLS); Alan Kay attends the presentation as a student
1967,"Marshall McLuhan, Quentin Fiore, and Jerome Agel",,The Medium is the Massage: An Inventory of Effects,,"Marshall McLuhan, Quentin Fiore, and Jerome Agel, The Medium is the Massage: An Inventory of Effects"
1967,,,,,"Sound?? starring Rashaan Roland Kirk and John Cage, directed by Dick Fontaine"
1967,,,,,Hughes Aircraft Company and NASA Applications Technology Satellite 3 (ATS-3) satellite photographs the Earth from space
1967,Dr. Lawrence G. Roberts ,,“Multiple Computer Networks and Intercomputer Communications”,,"Dr. Lawrence G. Roberts, “Multiple Computer Networks and Intercomputer Communications”"
1967,,,,,Sam Matsa (IBM/GM and ACM Board member) and Andy Van Dam (Brown University) organize a series of seminars on Interactive Computer Graphics
1968,,,,,"Dr. Martin Luther King Jr. and Robert Francis ""Bobby"" Kennedy assassinated"
1968,Douglas Engelbart/Stanford Research Institute ,,The Mother of All Demos,,"Douglas Engelbart/Stanford Research Institute, The Mother of All Demos"
1968,,,,,"Alan Kay conceptualizes, models, and prototypes the Dynabook personal computer in cardboard"
1968,J. C. R. Licklider and Robert W. Taylor ,,“The Computer as a Communication Device”,,"J. C. R. Licklider and Robert W. Taylor, “The Computer as a Communication Device”"
1968,,,,,"Cybernetic Serendipity: The Computer and the Arts exhibition, curated by Jasia Reichardt"
1968,,,,,ATS-3 satellite photograph of the Earth becomes the cover image of the first edition of Stewart Brand’s Whole Earth Catalog
1968,William Anders/Apollo 8,,Earthrise,,"Earthrise, William Anders/Apollo 8"
1968,"Charlotte Moorman, Nam June Paik, Les Levine, Carolee Schneemann, Terry Riley, Dick Higgins, Ken Dewey, USCO, Aldo Tambellini, and others",,Intermedia ’68: A Festival for New York State,,Intermedia ’68: A Festival for New York State
1968,,,,,"Ant Farm founded, Chip Lord and Doug Michels "
1968,,,,,"General strikes, public protests and occupations of universities and factories in Paris and Prague"
1968,,,,,The United States Democratic Convention in Chicago
1968,,,,,American Indian Movement (AIM) founded
1969,,,,,Fred Hampton and Mark Clark of the Black Panther Party assassinated
1969,,,,,"Advanced Research Projects Agency (ARPA), ARPANET (1969 - 1977)"
1969,,,,,Phil Morton joins the Faculty at The School of the Art Institute of Chicago (SAIC)
1969,,,,,"Dan Sandin joins the Faculty at University of Illinois at Chicago (UIC), then referred to as the University of Illinois at Chicago Circle Campus"
1969,,,,,Dan Sandin and his students transmit video feeds at the UIC Art Building as documented by Diane Kirkpatrick in her Chicago: The City and Its Artists 1945 - 1978
1969,Nam June Paik and Shuya Abe ,,Paik-Abe Video Synthesizer,,"Paik-Abe Video Synthesizer, Nam June Paik and Shuya Abe "
1969,,,,,"SIGGRAPH, the Special Interest Group on Computer Graphics and Interactive Techniques founded and named as a Special Interest Group"
1969,,,,,Videofreex founded
1969,,,,,"TV as a Creative Medium, Howard Wise Gallery"
1969,,,,,Stonewall Rebellion at the Stonewall Inn in New York City
1969,,,,,Vector General (VG) graphics terminals introduced
1970,"Beryl Korot, Phyllis Gershuny, and The Raindance Corporation (1970 - 1974)",,Radical Software,,"Radical Software: Beryl Korot, Phyllis Gershuny, and The Raindance Corporation (1970 - 1974)"
1970,,,,,Phil Morton founds the Video Area and Video Data Bank at SAIC
1970,Gene Youngblood,,Expanded Cinema,,"Gene Youngblood, Expanded Cinema"
1970,,,,,Sonia Landy Sheridan founds the Generative Systems Program at SAIC
1970,Steina (1970 / 1978 - present),,Violin Power,,"Violin Power, Steina (1970 / 1978 - present)"
1970,,,,,PDP-11 series of  digital computers - Digital Equipment Corporation (DEC)
1971,,CNME,,,Dan Sandin begins development of the Sandin Image Processor
1971,,,,,Phil Morton and Dan Sandin develop “The Distribution Religion” (1971 – 1973)
1971,,,,,Woody and Steina Vasulka found The Kitchen in New York City
1971,,,,,Dara Greenwald born
1972,Phil Morton and Dan Sandin,,Interactive video environment at St. Olaf College,,"Interactive video environment at St. Olaf College, Phil Morton and Dan Sandin"
1972,,,,,Graphics Symbiosis System (GRASS) developed at Ohio State by Tom DeFanti
1972,,,,,Angela Davis jailed then acquitted and freed
1972,,,,,"The Black Community Survival Conference, The Black Panther Party "
1973,Ivan Illich ,,Tools for Conviviality,,"Ivan Illich, Tools for Conviviality"
1973,Phil Morton and Dan Sandin (on the Sandin Image Processor) with Jim Wiseman (on the Paik/Abbe Video Synthesizer) ,,Inconsecration of New Space,,"Inconsecration of New Space, Phil Morton and Dan Sandin (on the Sandin Image Processor) with Jim Wiseman (on the Paik/Abbe Video Synthesizer) "
1973,,,,,Tom DeFanti and Ted Nelson join the Faculty at UIC
1973,,,,,Circle Graphics Habitat established at UIC by Dan Sandin and Tom DeFanti. Circle Graphics Habitat was renamed the Electronic Visualization Laboratory (EVL)
1973,Dan Sandin,CNME,Five-minute Romp through the IP,,"Five-minute Romp through the IP, Dan Sandin"
1973,,,,,"jonCates, curator of Chicago New Media 1973–1992 exhibition, born"
1974,GRASS (GRAphics Symbiosis System),CNME,Tom DeFanti,,"GRASS (GRAphics Symbiosis System), Tom DeFanti"
1974,Computer Lib,,You Can and Must Understand Computers Now; Dream Machines,,"Ted Nelson, Computer Lib: You Can and Must Understand Computers Now; Dream Machines"
1974,,,,,Jane Veeder enters SAIC as a graduate student
1974,,,,,Bob Snyder joins the faculty at SAIC
1974,,,,,"SIGGRAPH 1st Annual Conference on Computer Graphics and Interactive Techniques held in Boulder, Colorado"
1974,,,,,"Dan Sandin, Tom DeFanti, and Ted Nelson show the first Computer Graphics videotape presented at SIGGRAPH, with paper “Computer Graphics as a Way of Life”"
1974,Gary Gygax and Dave Arneson,,Dungeons & Dragons,gaming,"Gary Gygax and Dave Arneson, Dungeons & Dragons"
1974,,,,,z-buffering developed by Ed Catmull at the University of Utah
1975,"Phil Morton, Dan Sandin, Tom DeFanti, Bob Snyder",CNME,"The First Interactive Electronic Visualization Event (EVE) held at UIC, Rotunda SES East",,"The First Interactive Electronic Visualization Event (EVE) held at UIC, Rotunda SES East, Phil Morton, Dan Sandin, Tom DeFanti, Bob Snyder"
1975,Click Nilson,,An Instructional Game for 1 to many musicians,,"An Instructional Game for 1 to many musicians, Click Nilson"
1976,Phil Morton,CNME,General Motors,,"Phil Morton, General Motors"
1976,"Dan Sandin, Phil Morton, Tom DeFanti, Bob Snyder",CNME,"The Second Electronic Visualization Event (EVE II) held at UIC, Rotunda SES CB",,"The Second Electronic Visualization Event (EVE II) held at UIC, Rotunda SES CB"
1976,,,,,"Kate Horsfield and Lynn Blumenthal take over operations of the Video Data Bank, moving the collection out of the Video Area into the Library of SAIC"
1976,,,,,"Bob Snyder become head of the Sound Area, which would later become the Sound Department at SAIC"
1976,,,,,Phil Morton and Jane Veeder meet in the Spring of 1976 in Chicago’s Pilsen neighborhood
1976,William Crowther,,Colossal Cave Adventure,gaming,"Colossal Cave Adventure, William Crowther"
1976,Hobel-Leiterman Productions,,Computers: Challenging Men's Supremacy,,"Computers: Challenging Men's Supremacy, Hobel-Leiterman Productions"
1976,Michael Shrayer,,Electric Pencil,,"Electric Pencil, Michael Shrayer"
1976,Jamie Fenton for Dave Nutting Associates,,The Bally Fireball Home Pinball Machine,gaming,"The Bally Fireball Home Pinball Machine, Jamie Fenton for Dave Nutting Associates"
1976,Williams Electronic Manufacturing Company,,Space Mission,gaming,"Space Mission, Williams Electronic Manufacturing Company"
1977,Atari 2600,,Atari,gaming,Atari 2600
1977,,,,,"Star Wars Episode IV: A New Hope, dir. George Lucas"
1977,"Dan Sandin, Tom DeFanti, Richard Sayre",CNME,Sayre Glove,,"Sayre Glove, Dan Sandin, Tom DeFanti, Richard Sayre"
1977,Bally,CNME,The Bally Astrocade,gaming,The Bally Astrocade
1977,Annette Barbier and Richard Mandeberg,CNME,Speak to Me Softly,,"Speak to Me Softly, Annette Barbier and Richard Mandeberg"
1978,,,,,Phil Morton and Jane Veeder found the Electronic Visualization Center  (1978 - 1979)
1978,,,,,Diane Kirkpatrick curates the exhibition Chicago: The City and Its Artists 1945 - 1978 at the University of Michigan
1978,Phil Morton and Jane Veeder,CNME,Program #7,,"Program #7, Phil Morton and Jane Veeder"
1978,Phil Morton and Jane Veeder,CNME,Program #9,,"Program #9, Phil Morton and Jane Veeder"
1978,,,,,3/78 (Objects and Transformations) by Larry Cuba produced using DeFanti's GRASS system at UIC
1978,"Jamie Fenton, Tom DeFanti, and Nola Donato",CNME,BASIC ZGRASS: A Sophisticated Graphics Language for the Bally Home Library Computer,gaming,"BASIC ZGRASS: A Sophisticated Graphics Language for the Bally Home Library Computer, Jamie Fenton, Tom DeFanti, and Nola Donato"
1978,"Taito, licensed by Midway Games ",,Space Invaders,gaming,"Space Invaders, Taito, licensed by Midway Games "
1978,"Jamie Fenton, Raul Zaritsky and Dick Ainsworth ",CNME,Digital TV Dinner,,"Digital TV Dinner, Jamie Fenton, Raul Zaritsky and Dick Ainsworth "
1978,,,,,Electronic Visualization Event (EVE 3) held at the University of Illinois at Chicago (UIC)
1978,Bob Snyder ,CNME,ICRON,,"ICRON, Bob Snyder "
1978,"Phil Morton and Guenther Tetz (video), Leif Brush, and Stu Pettigrew (audio) ",CNME,Wire Trees with 4 Vectors,,"Wire Trees with 4 Vectors, Phil Morton and Guenther Tetz (video), Leif Brush, and Stu Pettigrew (audio) "
1978,"Tom DeFanti and Barbara Sykes (video), Glen Charvat, Doug Lofstrom, Rick Panzer, and Jim Teister (audio) ",CNME,,,"By the Crimson Bands of Cyttorak, Tom DeFanti and Barbara Sykes (video), Glen Charvat, Doug Lofstrom, Rick Panzer, and Jim Teister (audio) "
1978,"Tom DeFanti, Phil Morton, Dan Sandin, and Jane Veeder (video)",CNME,,,"Spiral 3, Tom DeFanti, Phil Morton, Dan Sandin, and Jane Veeder (video)"
1978,Phil Morton and Guenther Tetz (video) and Bob Snyder (audio) ,CNME,,,"Data Bursts in 3 Moves, Phil Morton and Guenther Tetz (video) and Bob Snyder (audio) "
1978,Phil Morton and Chip Dodsworth (video) and Barry Brosch (audio) ,CNME,,,"Cetacean, Phil Morton and Chip Dodsworth (video) and Barry Brosch (audio) "
1979,,,,,"Ars Electronica founded in Linz, Austria"
1979,,,,,"George Lucas hires Ed Catmull, Ralph Guggenheim, and Alvy Ray Smith to form Lucasfilm "
1979,"Dan Sandin, Tom DeFanti, and Mimi Shevitz ",CNME,,,"Spiral 5 PTL (Perhaps The Last), Dan Sandin, Tom DeFanti, and Mimi Shevitz "
1979,Dan Sandin ,CNME,,,The Digital Image Colorizer (DIC)
1979,Dan Sandin ,CNME,,,Wandawega Waters
1979,,,,,The Computer Museum in Boston (1979 - 2000)
1980,,,,,"Sonia Landy Sheridan resigns from SAIC, signaling the end of its Generative Systems Program"
1980,,,,,Barbara Latham becomes the head of the Video Area at SAIC
1980,,,,,Christine Tamblyn receives her BFA degree from SAIC
1980,,,,,Gene Youngblood teaches as a Visiting Professor in the Art History Department at SAIC
1980,,,,,Christine Tamblyn teaches as part-time faculty in the Video and the Performance Departments at SAIC
1980,,,,,Gene Youngblood interviews Phil Morton and Jane Veeder in Chicago
1980,,CNME,Gorf,gaming,"Gorf, Jamie Fenton for COIN, Bally/Midway "
1980,,CNME,Real-Time Design ZGRASS Demo,gaming,"Real-Time Design ZGRASS Demo, Tom DeFanti, Jane Veeder, Raul Zaritsky, and Copper Giloth"
1981,,CNME,Defender video arcade game,gaming,"Defender video arcade game, Williams Electronics"
1981,,CNME,Wizard of Wor,gaming,"Wizard of Wor, Midway"
1981,,CNME,SAIC Memo,,"SAIC Memo, Phil Morton"
1981,,,,,MIDI (Musical Instrument Digital Interface) Specification (1981 / 1983 - present)
1981,Silas Warner / Muse Software,,,gaming,"Castle Wolfenstein, Silas Warner / Muse Software"
1982,Bally Midway,CNME,Tron video arcade game,gaming,"Tron, Bally Midway"
1982,Jane Veeder ,CNME,WARPITOUT,,"WARPITOUT, Jane Veeder"
1982,Jane Veeder ,CNME,MONTANA,,"MONTANA, Jane Veeder"
1982,Jane Veeder ,CNME,Floater (The Final Sequence),,"Fleeter (The Final Sequence), Jane Veeder"
1982,Commodore Computers ,,Commodore 64,gaming,Commodore 64
1982,"Jamie Fenton for COIN, Bally/Midway ",,Ms Gorf (unreleased),gaming,"Ms Gorf (unreleased), Jamie Fenton for COIN, Bally/Midway "
1982,Atari,,Atari data glove,gaming,Atari data glove
1982,,,,,"SIGGRAPH ’82 Art Show at SIGGRAPH ’82, The Ninth Annual Conference on Computer Graphics and Interactive Techniques in Boston"
1983,Gene Youngblood ,,,,"Gene Youngblood, “Computer Art as a Way of Life”"
1983,,,,,"Christine Tamblyn leaves Chicago, relocating to New York City"
1983,Jane Veeder,CNME,FLOATER,,"FLOATER, Jane Veeder"
1983,,,,,"ファミリーコンピュータ (Family Computer) or ファミコン (Famikon), AKA The Nintendo Entertainment System (NES), Nintendo (1983-1985)"
1983,,,Dragon’s Lair,gaming,"Dragon’s Lair, Rick Dyer and Don Bluth"
1983,"Andrew Johnson, Preston Nevins, and Rob Romanchuk",,Castle Smurfenstein,gaming,"Castle Smurfenstein, Andrew Johnson, Preston Nevins, and Rob Romanchuk"
1984,,,,,"Jamie Fenton, Marc Canter, and Mark Pierce form MacroMind corporation"
1984,,,,,“The Digital Art: Computer art as a way of life - Jane Veeder” by Gene Youngblood is published in the Ars Electronica 1984 Festival Catalog
1984,,,,,Barbara Latham dies
1984,Apple Computers,,,,Apple Macintosh
1985,,,,gaming,MacroMind develops and releases MacroMind VideoWorks for the Macintosh computer
1985,Jane Veeder,CNME,VIZGAM,,"VIZGAM, Jane Veeder"
1985,,,"“Tracking Video Art, ‘Image Processing’ as a Genre” ",,"Lucinda Furlong, “Tracking Video Art, ‘Image Processing’ as a Genre” "
1985,,,Tools for Thought: The History and Future of Mind-Expanding Technology,,"Howard Rheingold, Tools for Thought: The History and Future of Mind-Expanding Technology"
1986,,,,,Jamie Fenton joins Apple Computer
1986,Jane Veeder ,CNME,,,"JG3D, Jane Veeder"
1986,Jane Veeder ,CNME,,,"4KTAP, Jane Veeder"
1986,,,,,Paul Hertz graduates from SAIC
1986,,,The King of Chicago,,"The King of Chicago, Doug Sharp for Cinemaware/Master Designer Software "
1986,,, Mike Saenz/Reactor Inc.,,"MacPlaymate, Mike Saenz/Reactor Inc."
1986,,,"Gramophone, Film, Typewriter",,"Friedrich Kittler, Gramophone, Film, Typewriter "
1987,,,,gaming,"MacroMind releases the Director multimedia authoring software, giving birth to a wave of CD-ROM art production"
1987,,,,,"Jamie Fenton joins Alan Kay's Vivarium Project, developing “a number of prototype programming environments for children”"
1987,Tom DeFanti and everyone from the EVL,CNME,The Interactive Image,,"The Interactive Image, Tom DeFanti and everyone from the EVL"
1987,Cynthia Goodman,,Digital Visions,,"Cynthia Goodman, Digital Visions"
1988,,,,,"Jane Veeder hired as Full-time Faculty at San Francisco State University"
1989,Claudia Cumbie-Jones and Lance Ford Jones,,“chidoc: a snapshot of Chicago's electronic art community 1989”,,"Claudia Cumbie-Jones and Lance Ford Jones, 'chidoc: a snapshot of Chicago's electronic art community 1989'"
1989,,,,,"The World Wide Web (WWW) Project developed by Tim Berners-Lee at The European Organization for Nuclear Research (CERN) in Genève, Switzerland"
1989,,,“Cinema and the Code”,,"Gene Youngblood, “Cinema and the Code” "
1990,Copper Giloth and Lynn Pocock-Williams ,,,,"Copper Giloth and Lynn Pocock-Williams, “A Selected Chronology of Computer Art, Exhibitions, Publications, and Technology”"
1990,"Dan Sandin (computer graphics and RT/1 programming), Laurie Spiegel and Laurie Lou Kauffman (original music and audio effects), and Tom DeFanti (visual leadership)",CNME,A Volume of 2-Dimensional Julia Sets,,"A Volume of 2-Dimensional Julia Sets, Dan Sandin, Laurie Spiegel, Laurie Lou Kauffman, and Tom DeFanti"
1990,Christine Tamblyn,,"“Computer Art as Conceptual Art,” Art Journal, College Art Association (CAA)",,"Christine Tamblyn, “Computer Art as Conceptual Art,” Art Journal, College Art Association (CAA)"
1990,Nintendo,,Super Nintendo Entertainment System (SNES),,Super Nintendo Entertainment System (SNES)
1990,Mike Saenz/Reactor Inc.,,Virtual Valerie,,"Virtual Valerie, Mike Saenz/Reactor Inc."
1991,"Dan Sandin, Tom DeFanti, Carolina Cruze Nevera, with Greg Dawl (industrial design) and everyone at EVL (1991 - present)",CNME,CAVE,,"CAVE, Dan Sandin, Tom DeFanti, Carolina Cruze Nevera, with Greg Dawl (industrial design) and everyone at EVL (1991 - present)"
1991,Christine Tamblyn,,"“Image Processing in Chicago Video Art, 1970-1980,” Leonardo, MIT Press",,"Christine Tamblyn, “Image Processing in Chicago Video Art, 1970-1980,” Leonardo, MIT Press"
